experiment, filename , dur , f0mnhz , f0mdhz , f0sdhz , f0mihz , f0mahz , f0rghz , f0mnvst , f0mdvst , f0sdvst , f0mivst , f0mavst , f0rgvst, inmn , inmd , inrange , jitloc , jitrap , jitppq5 , periodsd , shimloc , shimapq11 , shimapq3 , h1mh2mn , slopen0114 , slopen5228 , mnHNR , mnNHR, jitlocvr , jitrapvr , shimlocvr , shimapq3vr 
F0-Intensity,F_2_8_con_High_Loud,1.841,223.9,217.3,30.2,175.1,291.5,116.4,93.53,93.16,2.29,9.7,18.52,8.82,64,62.2,18.1,0.00848,0.00179,0.00364,0.0006,0.11581,0.14117,0.04854,4.37,-16.6,-18,13.9,0.1056,0.00848,0.00179,0.11581,0.04854
F0-Intensity,F_2_8_con_High_Neut,1.841,223.9,217.3,30.2,175.1,291.5,116.4,93.53,93.16,2.29,9.7,18.52,8.82,61,59.2,18.1,0.00848,0.00179,0.00364,0.0006,0.11587,0.14128,0.04857,4.37,-16.6,-18,13.9,0.1056,0.00848,0.00179,0.11587,0.04857
F0-Intensity,F_2_8_con_High_Quie,1.841,223.9,217.3,30.2,175.1,291.5,116.4,93.53,93.16,2.29,9.7,18.52,8.83,58,56.2,18.1,0.00847,0.00179,0.00364,0.0006,0.11551,0.13987,0.04855,4.38,-16.6,-18,13.9,0.1059,0.00847,0.00179,0.11551,0.04855
F0-Intensity,F_2_8_con_Low_Loud,1.841,160.9,154.6,21.7,126.7,210,83.3,87.81,87.27,2.28,4.11,12.84,8.74,64,62.4,18.1,0.01087,0.00264,0.00497,0.0008,0.12284,0.08635,0.05012,2.14,-17,-16.3,12.5,0.1324,0.01087,0.00264,0.12284,0.05012
F0-Intensity,F_2_8_con_Low_Neut,1.841,160.9,154.6,21.7,126.7,210,83.3,87.81,87.27,2.28,4.11,12.84,8.74,61,59.4,18.1,0.01087,0.00264,0.00497,0.0008,0.12281,0.08638,0.05011,2.14,-17,-16.3,12.5,0.1324,0.01087,0.00264,0.12281,0.05011
F0-Intensity,F_2_8_con_Low_Quie,1.841,160.9,154.6,21.7,126.7,209.9,83.2,87.81,87.27,2.28,4.11,12.84,8.73,58,56.4,18.1,0.01087,0.00263,0.00497,0.0008,0.12807,0.08431,0.055,2.18,-17,-16.3,12.5,0.1325,0.01087,0.00263,0.12807,0.055
F0-Intensity,F_2_8_con_Mid_Loud,1.841,191.4,186.2,25.6,151,249.3,98.3,90.81,90.49,2.25,7.14,15.81,8.67,64,62,18.7,0.00847,0.0016,0.00302,0.0007,0.11659,0.12436,0.04568,2.7,-17.3,-15.5,13.4,0.1003,0.00847,0.0016,0.11659,0.04568
F0-Intensity,F_2_8_con_Mid_Neut,1.841,191.4,186.2,25.6,151,249.3,98.2,90.81,90.49,2.25,7.14,15.81,8.67,61,59,18.7,0.00847,0.0016,0.00302,0.0007,0.11388,0.12439,0.04344,2.7,-17.3,-15.5,13.4,0.1003,0.00847,0.0016,0.11388,0.04344
F0-Intensity,F_2_8_con_Mid_Quie,1.841,191.6,186.5,25.8,151.1,250.9,99.8,90.83,90.51,2.27,7.14,15.92,8.78,58,56,18.7,0.00853,0.00166,0.00316,0.0007,0.11558,0.12476,0.046,2.6,-17.3,-15.5,13.3,0.1098,0.00853,0.00166,0.11558,0.046
F0-Intensity,F_5_1_con_High_Loud,1.909,260.1,257.5,32.9,207.6,331.6,124,96.14,96.1,2.15,12.65,20.72,8.07,69,68,30.5,0.00632,0.00122,0.00265,0.0005,0.10163,0.12479,0.03805,6.13,-14.1,-21.9,17.7,0.0681,0.00632,0.00122,0.10163,0.03805
F0-Intensity,F_5_1_con_High_Neut,1.909,260.1,257.5,32.9,207.6,331.6,124,96.14,96.1,2.15,12.65,20.72,8.07,66,65,30.5,0.00639,0.00124,0.00265,0.0005,0.10286,0.12345,0.03865,6.12,-14.1,-21.9,17.7,0.0681,0.00639,0.00124,0.10286,0.03865
